About what proportion of the population of the US is living on farms?,Remember
Correctly label the brain lobes indicated on the diagram below,Remember
Define compound interest.,Remember
Define four types of traceability.,Remember
Define mercantilism.,Remember
"Define stream bank, floodplain and substrate.",Remember
Define the meaning of the Olympic Motto.,Remember
Draw and label a diagram of a typical stream.,Remember
Draw the basic outline of a page of notes using the Cornell Method?,Remember
Draw the block diagram of the central processing unit ,Remember
Draw the flow chart of the PNK system,Remember
How many instructions in the instruction set of RISC computer?,Remember
How many kilometers from your home to the university,Remember
How many loop statement available in c++?,Remember
How many states are there in USA,Remember
How many years does this animal live?,Remember
How much data can be stored in the cach memory,Remember
How much did he pay for his car,Remember
How much is your weight,Remember
How much time did he took to build a house,Remember
How much water does an elephant drink,Remember
Identify a phrase as a simile,Remember
"Identify a property (commutative, additive, etc(",Remember
Identify fractions from a pictorial representation,Remember
Identify ordinal positions,Remember
Identify the correct definition of osmosis.,Remember
Identify the five major prophets of the Old Testament.,Remember
Identify the part of a eukaryotic cell.,Remember
Identify the standard peripheral components of a computer.,Remember
Identify which word begins with the same sound as the s in sun (Knowledge of letter s),Remember
in which continent does the state of suriname fall,Remember
in which countries is arabic language spoken,Remember
In Which part of the world does he live ,Remember
Label any Olympic sporting apparatus with design features.,Remember
Label the parts of the following insects: Grasshopper,Remember
 Label the parts of the microscope shown on the right,Remember
List four types of clauses mentioned in the article,Remember
List reserved words in C programming.,Remember
List the characteristics peculiar to the Cubist movement.,Remember
List the levels in Bloom's Taxonomy.,Remember
List the procedure to draw a mixed potential or Evans' diagram,Remember
List the steps involved in titration.,Remember
List three characteristics that are unique to the Cubist movement.,Remember
List three predominant economic systems that exist,Remember
Look at the symbol. What is the symbol’s purpose on a map?,Remember
Make a list of facts you learned from the story.,Remember
Name 5 steps that follow the taking of notes (within 24 hours or less)?,Remember
Name the artist who painted the Mona Lisa.,Remember
Name the food groups and at least two items of food in each group.,Remember
Name the four major food groups.,Remember
Name the main characters in the story.,Remember
Name the property that states that,Remember
Please label the diagram below:,Remember
Recall basic math facts,Remember
Recall locations of a historical events,Remember
Recall the definition of the formula datatype from your assignment 2.,Remember
Recall the equation for the Ideal Gas Law.,Remember
Recall the following pictoral example of an implementation of some queue operations,Remember
recall the supply voltage constraints,Remember
Recite a policy of immigration in Europe .,Remember
"Recite the poem Auto Wreck".""ecite the po"""ecite the poem A",Remember
Recite the principles of the Data Protection Act.,Remember
Recite the the Gaussian law,Remember
State four attributes of well engineered software.,Remember
State how to find a word in a dictionary,Remember
State the characteristics of each type of corrosion testing studied,Remember
State the definition of application in Bloom's Taxonomy.,Remember
State the formula for the area of a circle,Remember
State the guidelines to design an anodic protection system,Remember
State the pattern for expressing time in French.,Remember
State the rule for balls and strikes in baseball.,Remember
State the rule for using a semicolon in a sentence.,Remember
What are major facts about particular cultures and societies,Remember
What are the major products and exports of countries,Remember
What are the representational symbols on maps and charts,Remember
What are the structure or functions of Congress,Remember
What are the units of corrosion penetration rates? Relate these to Faraday's law,Remember
What does ICT stands for.,Remember
What is  your family name,Remember
What is a global variable?,Remember
What is a textual index,Remember
What is the setting of To Kill a Mockingbird?,Remember
What is the title of the first movie you saw ,Remember
What season are we in right now?,Remember
when did saudi arabia start using internet,Remember
when did the first saudi radio station open,Remember
When did the second world war happen ,Remember
When did you born ?,Remember
when was the first airport in the yemen built,Remember
when was the UN formed ,Remember
Which of the following is the method for determining the volume of a cylinder?,Remember
Which of the following item does not belong to the set ?,Remember
Which of the two liquids is hypotonic ,Remember
which part of a data packet is used by a router to determine the destination network,Remember
Which technology is used by laser printer,Remember
Who is the first president   of USA,Remember
who is the founder of the kingdom of saudi Arabia,Remember
who was the first man on the moon,Remember
who was the first to compose in the arts of makamat,Remember
Who was the writer of the Hamilton ,Remember
Compare Calliope with Howie. Use the word bank.,Understand
Compare historical events to contemporary situations,Understand
Complete an analogy (analogy tasks are inference tasks),Understand
Describe 4 types of coupling in software design.,Understand
Describe how Phillip and Timothy survived on the Cay.,Understand
Describe in prose what is shown in graph form.,Understand
Describe in your own words how to borrow a book from the library.,Understand
Describe in your own words how to copy text from one program into another.,Understand
Describe in your own words what happens when a stream's velocity slows.,Understand
Describe in your own words what is meant by a sprained ankle.,Understand
Describe nuclear transport to a lay person.,Understand
Describe the Pareto Principle in statistical software quality assurance.,Understand
Describe what goes in each of the four areas on the first page of notes,Understand
Describe what took place as the Hato was sinking.,Understand
Describe how the linear polarization method can yield corrosion rates,Understand
Describe the major clinical differences between visceral and somatic pain,Understand
Briefly describe the author's approach to the liabilities of the GOTO statement,Understand
Describe what happened at...?,Understand
Determine the author’s point of view,Understand
Determine the next number in a sequence,Understand
Discuss the nature of socialism.,Understand
Explain how Timothy saved Phillip's life.,Understand
Explain in one's own words how to create a query in a database.,Understand
Explain in your own words what a recessive gene is.,Understand
Explain in your own words what do you mean by the term economics?,Understand
Explain in your own words what is meant by mercantilism.,Understand
Explain the causes of historical events,Understand
Explain the communicative property.,Understand
"Explain the double meaning the author attributes to the term successive action descriptions"""xplain the double meaning the a"""xplain the double meaning the auth",Understand
Explain the possible uses described in class for the space to the left of the vertical line.,Understand
Explain the process (paraphrase) for finding the perimeter of a rectangular garden,Understand
Explain what a poem means.,Understand
"Explain what the author means by the statement our intellectual powers are geared to master static relations.""xplain what the author means by the statement "our intellectua""plain what the """xplain what the author means by the statement our intellectual powers are geared ",Understand
Express your opinion of 'Drugs in Sport' through poetry.,Understand
From a blueprint to describe the article depicted.,Understand
"Given a graph of production trends in automobiles, describe what the graph represents in a memo to your boss.",Understand
"Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators  ",Understand
"Illustrate this caption: Olympic as a Media Event in the Information Society"""llustrate this caption: "Olympic as a Media Event in""lustrate this caption: "Oly""ust"""llustrate this caption: Olympic as a Media Event in the Information Society"""llustrate t""lustrate this",Understand
Illustrate what you think the main idea was.,Understand
In one sentence explain the main idea of a written passage.,Understand
In one sentence illustrate the main point of a written passage.,Understand
Interpret the pictures.,Understand
Outline in your own words how the Leggo's Tomato Paste advertisement sells their product.,Understand
Outline the most important insight of the tale.,Understand
Outline the mechanisms employed by bacteria allowing them to evade phagocytic destruction.,Understand
